"state","Year","Month","Avg_Natural_Cause","Avg_Septicemia","Avg_Malignant_neoplasms","Avg_Diabetes_mellitus","Avg_Alzheimer_disease","Avg_Influenza_and_pneumonia","Avg_Chronic_lower_respiratory_diseases","Avg_Other_diseases_of_respiratory_system","Avg_Nephritis_nephrotic_syndrom_and_nephrosis","Avg_Symptoms_signs_abnormal_clinical_laboratory_findings","Avg_Diseases_of_heart","Avg_Cerebrovascular_diseases","Avg_COVID-19 (Underlying Cause of Death)","Avg_COVID-19 (Multiple Cause of Death)"
"Tennessee",2021,4,1440,23,283,51,52,21,84,19,26,18,362,71,99,114
"California",2020,8,5679,32,1149,207,351,83,224,46,83,22,1232,338,824,888
"Utah",2021,3,360,NULL,63,16,19,NULL,16,NULL,10,NULL,80,16,21,24
"Iowa",2022,5,543,NULL,121,18,26,11,33,NULL,11,NULL,142,23,11,15
"California",2022,8,5275,32,1155,202,299,68,208,58,90,383,1099,317,212,306
"Ohio",2021,12,3342,44,497,97,107,42,148,49,45,36,695,166,809,877
"North Dakota",2020,2,136,NULL,26,NULL,13,NULL,11,NULL,NULL,0,32,10,0,0
"New Mexico",2022,5,361,NULL,72,14,18,10,21,11,10,14,78,21,NULL,14
"Montana",2020,5,167,NULL,37,NULL,NULL,0,13,NULL,NULL,0,40,10,0,0
"Arkansas",2022,7,611,11,119,27,27,11,41,13,14,21,147,33,21,29
"Michigan",2021,1,2240,22,400,67,91,28,98,20,44,12,523,118,389,439
"Indiana",2021,5,1195,14,257,42,36,13,75,21,24,13,289,63,66,81
"Indiana",2020,10,1362,22,257,41,49,16,80,21,25,10,288,68,175,193
"Texas",2020,11,5072,64,815,168,242,59,192,54,85,41,978,228,1126,1207
"Idaho",2020,12,359,NULL,55,11,17,NULL,15,NULL,NULL,NULL,54,19,93,106
"West Virginia",2020,2,429,NULL,90,24,17,14,36,NULL,12,11,105,17,0,0
"Idaho",2022,6,287,NULL,56,12,17,NULL,16,NULL,NULL,12,70,16,10,13
"Massachusetts",2022,2,1253,21,245,33,30,17,44,18,31,19,258,50,140,179
"Maine",2021,12,371,0,62,12,14,NULL,19,NULL,10,NULL,76,16,68,73
"South Dakota",2021,2,159,0,28,10,13,0,10,NULL,0,0,39,12,16,18
"Kentucky",2020,9,941,18,195,33,27,16,60,16,19,14,205,41,64,72
"Oregon",2021,1,800,NULL,167,24,42,10,38,14,NULL,14,148,48,81,94
"Wisconsin",2020,5,979,14,222,29,42,13,46,10,14,NULL,227,51,63,67
"Mississippi",2021,11,658,NULL,133,28,32,12,39,12,14,11,173,37,34,43
"United States",2020,1,60161,851,11761,1980,2637,1414,3439,995,1105,648,14110,3249,4553,4979
"South Carolina",2022,1,1400,18,217,44,53,19,66,23,20,11,271,73,280,330
"North Dakota",2022,8,135,NULL,27,NULL,NULL,0,10,0,0,NULL,34,10,10,11
"Rhode Island",2020,6,203,0,41,11,13,0,11,0,NULL,0,46,13,28,34
"South Dakota",2022,4,152,0,33,NULL,11,0,14,0,NULL,0,39,10,NULL,10
"New York",2020,8,1295,17,315,39,27,26,53,24,22,21,360,58,21,30
"Delaware",2021,1,250,NULL,42,NULL,13,NULL,11,NULL,NULL,0,47,16,64,70
"Tennessee",2020,3,1400,18,295,48,66,42,106,27,20,16,355,77,3,3
"North Carolina",2020,6,1730,28,366,58,84,22,88,32,40,16,366,99,97,111
"Wisconsin",2020,4,1032,11,207,36,56,18,56,14,16,NULL,236,51,64,68
"North Carolina",2022,9,1680,21,364,51,77,15,88,33,30,100,333,100,52,86
"South Dakota",2020,5,146,NULL,31,NULL,10,0,14,0,0,0,33,11,13,13
"Louisiana",2020,5,997,16,170,33,43,15,44,20,19,13,230,48,171,187
"Georgia",2020,12,2145,41,370,60,99,30,92,53,39,26,451,105,344,380
"Hawaii",2022,3,223,NULL,50,12,11,NULL,NULL,NULL,NULL,NULL,52,17,0,10
"Texas",2021,4,4022,69,788,144,179,55,170,56,81,39,979,229,301,351
"Louisiana",2021,1,1165,21,178,44,47,17,44,20,24,14,266,57,234,258
"Florida",2022,4,3951,56,923,134,104,51,206,49,69,86,948,318,62,110
"New Hampshire",2022,4,232,0,53,11,11,0,17,NULL,NULL,12,49,13,0,NULL
"New Mexico",2020,2,333,NULL,68,14,13,14,24,11,11,0,80,18,0,0
"Alaska",2021,1,95,0,20,NULL,NULL,0,NULL,0,0,0,20,NULL,12,13
"Tennessee",2021,11,1576,19,291,49,59,28,84,27,26,22,386,81,143,158
"New York",2021,7,1319,22,309,38,28,33,52,29,26,26,367,57,18,25
"New Jersey",2021,6,1252,36,293,34,38,16,43,31,28,20,338,68,26,37
"Tennessee",2020,1,1606,19,281,52,73,54,105,24,23,17,372,87,123,135
"Minnesota",2022,3,854,11,193,25,46,12,41,14,12,20,176,50,28,46
"Missouri",2021,2,1334,22,251,38,48,20,71,26,32,14,322,67,136,161
"New York",2020,10,1388,17,320,45,33,28,49,29,26,21,387,61,40,48
"Nevada",2020,10,499,NULL,106,18,18,10,29,0,10,NULL,133,31,36,40
"Oregon",2020,2,681,NULL,157,22,42,12,43,12,13,14,148,40,0,0
"Louisiana",2020,4,1281,19,174,43,55,21,51,26,22,13,248,53,375,396
"Iowa",2021,5,522,11,120,18,21,NULL,26,11,NULL,NULL,133,27,17,23
"Utah",2020,12,487,NULL,61,18,30,NULL,19,NULL,10,NULL,92,18,109,125
"New Jersey",2020,7,1252,32,285,36,40,18,42,25,26,18,324,60,57,79
"Nevada",2020,8,582,NULL,105,18,19,13,33,0,NULL,10,149,26,100,107
"Maine",2020,2,275,0,65,12,10,11,22,11,NULL,0,60,15,0,0
"Missouri",2021,11,1335,24,264,39,47,17,73,28,30,13,330,68,111,120
"Idaho",2020,6,258,NULL,61,14,13,NULL,16,NULL,NULL,0,64,13,0,0
"Arizona",2021,1,2095,13,256,59,67,26,70,26,21,23,335,67,770,821
"Illinois",2020,6,2077,27,425,62,79,27,86,23,45,21,475,116,264,292
"Louisiana",2021,6,866,17,181,41,36,11,42,21,22,10,236,49,27,32
"Iowa",2021,8,576,NULL,124,17,25,11,31,11,NULL,11,140,24,35,40
"Wyoming",2022,4,90,0,21,NULL,NULL,NULL,NULL,0,NULL,0,25,NULL,0,0
"Delaware",2022,1,284,NULL,45,11,12,NULL,11,0,NULL,0,55,18,68,79
"Virginia",2020,7,1300,20,291,48,49,17,58,21,27,13,301,71,70,77
"North Dakota",2021,12,181,NULL,24,NULL,10,NULL,14,NULL,NULL,NULL,35,10,36,39
"Montana",2021,1,212,NULL,40,NULL,11,0,12,NULL,NULL,NULL,47,12,32,37
"Puerto Rico",2021,10,560,14,98,59,57,12,19,12,16,0,97,23,17,19
"Missouri",2021,7,1282,14,257,35,50,15,79,25,31,15,295,63,148,158
"Idaho",2021,7,280,NULL,57,12,16,0,16,NULL,NULL,NULL,58,14,15,16
"California",2021,3,5575,35,1148,236,331,104,227,54,89,25,1306,361,498,579
"Oklahoma",2021,11,801,NULL,159,34,26,10,51,NULL,10,NULL,229,36,81,100
"Virginia",2020,8,1338,17,296,46,49,20,59,21,29,12,286,76,98,107
"Louisiana",2021,3,915,23,167,36,42,15,41,18,22,14,231,59,69,77
"Oklahoma",2020,5,685,11,157,27,29,10,44,NULL,11,NULL,205,35,22,28
"Alabama",2020,7,1186,18,213,28,63,16,66,13,19,23,289,66,163,175
"Wyoming",2022,7,92,0,21,NULL,NULL,NULL,NULL,0,0,0,21,NULL,NULL,NULL
"Florida",2021,9,6074,60,892,174,134,65,217,48,71,72,1016,318,2027,2174
"Rhode Island",2020,10,189,0,39,NULL,11,0,NULL,0,NULL,0,42,11,19,20
"Puerto Rico",2022,5,609,16,104,62,54,16,18,11,19,15,114,22,40,43
"Maine",2021,9,296,0,62,12,12,NULL,19,NULL,NULL,0,63,16,28,30
"Illinois",2020,5,2595,29,446,66,87,44,102,28,50,22,506,126,622,654
"New Hampshire",2022,7,243,NULL,46,11,11,NULL,15,NULL,NULL,14,57,11,NULL,10
"Virginia",2021,8,1430,19,301,50,48,17,66,22,27,16,317,79,111,119
"Nebraska",2021,5,322,NULL,75,12,12,NULL,18,NULL,10,NULL,71,17,13,18
"North Carolina",2022,2,2259,27,365,77,88,26,95,30,49,26,416,117,432,522
"North Carolina",2020,9,1961,33,394,74,87,24,99,30,35,16,398,116,191,212
"Ohio",2020,6,2181,36,451,76,96,25,110,40,39,29,546,120,115,136
"Maine",2020,11,298,0,67,14,14,NULL,15,NULL,NULL,0,66,15,17,22
"Virginia",2020,3,1361,18,303,47,53,35,79,25,33,16,320,83,14,14
"Tennessee",2021,12,1692,23,308,51,64,36,98,21,25,18,389,88,175,192
"Indiana",2022,5,1163,13,249,47,38,15,88,15,26,12,280,61,19,32
"Minnesota",2020,4,878,NULL,195,30,49,17,38,13,12,22,154,42,70,74
"Florida",2021,3,4240,55,883,149,122,51,211,48,68,67,963,299,373,428
"Indiana",2020,8,1232,21,255,46,48,12,82,19,29,13,276,51,77,87
"Hawaii",2020,9,231,0,50,NULL,12,NULL,NULL,NULL,NULL,NULL,45,17,28,30
"Arizona",2021,6,1148,10,246,44,44,12,71,20,12,16,262,61,33,41
"North Dakota",2022,4,113,NULL,22,NULL,NULL,0,NULL,0,NULL,0,28,NULL,NULL,NULL
"Louisiana",2021,5,837,17,172,32,33,12,37,20,23,11,222,50,36,39
"California",2022,2,6700,42,1124,241,385,104,253,65,113,80,1399,403,1140,1336
"Mississippi",2020,5,686,NULL,114,31,39,16,43,10,13,NULL,171,33,92,101
"Wyoming",2020,12,130,0,17,0,11,0,13,0,0,0,26,NULL,37,43
"Virginia",2020,1,1459,23,305,48,57,29,76,28,39,15,306,78,84,90
"Massachusetts",2020,5,1741,15,224,36,37,27,49,18,24,14,213,45,712,756
"Maine",2021,5,278,0,62,12,11,NULL,18,10,0,0,65,13,14,14
"Maryland",2022,5,881,17,207,30,21,13,40,11,11,13,209,61,19,34
"Wisconsin",2020,12,1420,13,229,33,64,12,57,13,20,10,261,60,358,419
"Ohio",2022,9,1768,28,379,49,78,19,82,33,33,194,362,97,63,98
"Virginia",2021,12,1606,24,314,59,52,22,67,27,34,11,353,83,172,190
"Missouri",2021,8,1502,22,273,34,50,15,74,33,33,14,306,60,303,321
"North Carolina",2020,3,1801,30,384,65,97,52,109,34,42,13,401,108,0,12
"Montana",2021,10,297,NULL,45,13,NULL,0,16,NULL,NULL,0,51,11,90,96
"Missouri",2022,8,1097,17,249,33,41,14,59,20,31,10,267,61,47,63
"Wyoming",2020,10,102,0,16,NULL,NULL,0,15,NULL,0,0,22,NULL,17,21
"Arizona",2021,11,1563,14,240,48,59,22,75,19,20,15,310,70,336,362
"Wyoming",2021,3,86,0,20,NULL,NULL,0,NULL,NULL,0,0,21,NULL,NULL,NULL
"Texas",2020,9,4307,66,834,149,230,46,178,53,89,37,923,233,529,579
"Louisiana",2021,12,887,19,167,31,38,15,45,24,20,15,250,44,32,37
"Wisconsin",2022,5,959,16,216,25,40,12,55,13,20,24,238,46,20,32
"Vermont",2021,6,91,0,24,NULL,NULL,0,NULL,0,0,0,26,NULL,0,0
"Hawaii",2021,12,228,NULL,49,NULL,11,NULL,10,NULL,NULL,NULL,53,20,NULL,NULL
"Wyoming",2020,4,91,0,18,0,NULL,NULL,11,NULL,0,0,21,NULL,0,0
"Montana",2021,11,265,NULL,38,NULL,NULL,NULL,13,NULL,NULL,0,52,10,70,75
"Delaware",2021,7,159,0,40,NULL,0,0,10,0,NULL,0,37,15,NULL,NULL
"North Carolina",2020,7,1821,26,376,74,85,22,84,27,40,20,383,114,132,143
"Indiana",2021,3,1210,22,255,49,42,13,75,23,29,12,288,64,53,76
"Colorado",2021,6,711,10,148,23,31,NULL,39,15,11,NULL,150,33,41,50
"Colorado",2021,7,727,11,156,21,29,NULL,40,12,11,NULL,148,38,38,45
"South Dakota",2021,10,175,0,30,NULL,10,0,15,NULL,NULL,NULL,33,13,25,27
"Alabama",2020,6,1043,20,202,22,52,13,61,16,18,19,273,58,84,90
"California",2022,9,4459,25,1028,160,291,68,175,46,78,366,914,273,116,178
"Kansas",2020,11,698,NULL,106,18,22,11,32,NULL,13,NULL,122,26,190,204
"Iowa",2021,9,640,10,124,20,23,10,37,12,NULL,13,148,27,78,86
"North Carolina",2020,11,2076,27,393,70,85,28,96,31,49,17,410,115,268,297
"Vermont",2022,8,108,0,26,NULL,NULL,0,NULL,0,0,NULL,26,0,NULL,NULL
"Kentucky",2020,10,995,18,209,30,33,13,54,17,13,17,227,39,94,107
"United States",2021,11,61256,841,11748,2044,2416,883,2838,942,1062,751,13760,3260,6652,7425
"New Jersey",2022,9,1276,38,290,28,37,17,43,31,33,90,293,64,30,49
"Arkansas",2021,7,677,13,126,25,25,14,48,NULL,15,NULL,155,31,79,88
"South Dakota",2022,9,112,NULL,26,NULL,10,0,NULL,0,0,0,24,11,NULL,11
"Michigan",2021,7,1699,23,403,54,67,23,90,21,30,12,472,103,21,29
"Michigan",2020,9,1787,22,405,57,83,19,94,18,33,12,479,102,43,50
"Alabama",2020,9,1130,19,209,26,62,15,63,16,18,17,267,57,126,134
"Nebraska",2020,8,326,NULL,71,12,13,NULL,19,NULL,NULL,NULL,68,17,18,20
"Illinois",2021,3,1948,29,433,63,79,32,88,24,52,21,468,122,112,127
"Maryland",2020,12,1244,17,198,35,25,13,38,16,16,NULL,259,64,288,328
"District of Columbia",2021,5,102,0,21,NULL,0,NULL,NULL,0,0,0,23,NULL,10,12
"Virginia",2020,11,1463,16,291,54,56,20,63,22,31,13,304,83,155,169
"Louisiana",2022,1,1160,21,168,39,54,15,50,20,27,13,292,65,178,215
"New Hampshire",2022,3,245,NULL,54,13,10,NULL,12,NULL,NULL,NULL,59,14,13,17
"Connecticut",2020,3,612,12,127,17,16,14,31,14,12,12,144,33,14,15
"Wisconsin",2020,11,1534,12,236,42,62,11,58,14,17,11,279,52,434,501
"South Carolina",2022,5,921,17,206,29,40,11,48,17,13,16,204,48,18,27
"Idaho",2021,4,277,NULL,54,11,14,NULL,19,NULL,11,NULL,66,15,16,21
"Alabama",2021,10,1192,21,197,30,46,19,58,16,20,23,268,59,206,219
"Alaska",2021,4,77,0,21,NULL,0,0,11,0,NULL,NULL,15,NULL,NULL,NULL
"Illinois",2020,10,2116,26,429,65,92,37,91,26,43,22,497,122,195,233
"New York",2021,8,1431,21,328,41,30,34,59,24,23,23,387,61,71,79
"Kansas",2021,9,585,NULL,107,21,15,16,25,11,12,NULL,123,22,103,112
"West Virginia",2021,11,539,NULL,86,28,13,11,32,NULL,11,12,108,20,94,107
"Minnesota",2021,10,957,11,199,28,43,10,43,15,12,23,172,43,115,131
"Illinois",2020,4,2669,27,464,77,99,63,121,29,57,22,562,127,494,509
"West Virginia",2020,3,429,NULL,89,19,16,14,41,NULL,12,12,102,20,0,0
"Texas",2022,2,5444,72,827,178,254,62,209,72,98,60,1077,274,1112,1287
"Wisconsin",2021,6,901,22,214,27,46,NULL,39,14,13,NULL,227,50,19,20
"Alaska",2022,9,52,NULL,16,NULL,0,0,0,0,0,0,11,NULL,NULL,NULL
"New Mexico",2022,9,278,13,59,13,13,10,13,NULL,0,33,47,16,12,12
"Nebraska",2020,1,344,NULL,67,12,17,13,25,NULL,NULL,NULL,74,16,16,19
"New York",2022,7,1418,23,318,39,27,32,54,31,23,90,368,55,44,67
"Kansas",2020,12,837,NULL,108,23,23,10,31,NULL,15,11,134,29,286,311
"California",2020,10,5007,28,1138,198,348,71,208,48,76,25,1151,327,292,329
"Kentucky",2021,5,902,17,195,31,30,14,65,17,21,11,209,40,37,50
"Georgia",2021,12,1857,37,353,57,91,27,101,40,46,27,449,105,107,121
"Connecticut",2020,4,1158,13,127,20,27,14,25,15,12,14,159,27,507,528
"Hawaii",2020,11,215,0,48,NULL,12,NULL,NULL,0,NULL,NULL,52,17,NULL,NULL
"Georgia",2020,8,2031,33,343,58,90,28,89,43,41,27,408,90,384,416
"Washington",2021,5,1076,12,244,34,66,12,50,14,13,13,228,61,52,63
"North Dakota",2020,11,249,0,24,NULL,10,NULL,10,0,NULL,0,32,NULL,117,128
"Mississippi",2020,7,727,10,119,34,40,13,43,10,15,NULL,164,38,116,127
"Nevada",2022,8,503,NULL,105,17,18,11,24,NULL,NULL,46,116,24,16,23
"North Carolina",2021,4,1794,26,382,80,75,26,82,29,43,21,375,111,96,115
"Michigan",2021,8,1783,20,407,58,69,20,93,25,30,16,481,103,75,87
"Georgia",2022,1,2464,42,362,72,105,37,109,52,52,28,510,119,501,570
"Pennsylvania",2021,3,2512,44,528,76,78,26,108,44,64,35,598,135,183,233
"Connecticut",2022,5,573,11,122,17,17,12,27,14,13,12,122,28,19,25
"Oklahoma",2020,4,741,13,141,28,34,17,55,13,11,NULL,211,33,42,47
"Missouri",2020,11,1722,25,270,42,72,22,71,33,36,11,337,68,435,479
